x_codigo,x_zipcode_id,x_colonia,x_name
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,689 Colonias,0241 - 689 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,690 Colonias,0241 - 690 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,691 Colonias,0241 - 691 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,692 Colonias,0241 - 692 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,693 Colonias,0241 - 693 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,694 Colonias,0241 - 694 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,695 Colonias,0241 - 695 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,696 Colonias,0241 - 696 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,697 Colonias,0241 - 697 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,698 Colonias,0241 - 698 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,699 Colonias,0241 - 699 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,700 Colonias,0241 - 700 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,701 Colonias,0241 - 701 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,702 Colonias,0241 - 702 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,703 Colonias,0241 - 703 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,704 Colonias,0241 - 704 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,705 Colonias,0241 - 705 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,706 Colonias,0241 - 706 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,707 Colonias,0241 - 707 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,708 Colonias,0241 - 708 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,709 Colonias,0241 - 709 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,710 Colonias,0241 - 710 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
0242,42171,Ixcuinquitlapilco,0242 - Ixcuinquitlapilco
0242,50080,La Merced  (Alameda),0242 - La Merced  (Alameda)
0242,58195,Mariano Michelena,0242 - Mariano Michelena
0241,80613,Milpitas,0241 - Milpitas
0241,86291,Alvarado Guardacosta,0241 - Alvarado Guardacosta
0241,87245,El Alamito,0241 - El Alamito
0241,90453,San Benito Xaltocan,0241 - San Benito Xaltocan
0241,91350,Misantla El Viejo,0241 - Misantla El Viejo
0241,97280,711 Colonias,0241 - 711 Colonias
0241,98490,Boquilla de Abajo,0241 - Boquilla de Abajo
0242,20256,Ojocaliente FOVISSSTE II,0242 - Ojocaliente FOVISSSTE II
0242,21190,Gigantes del Desierto,0242 - Gigantes del Desierto
0242,21440,Encanto Sur,0242 - Encanto Sur
0242,23582,Las Casitas,0242 - Las Casitas
0242,24334,Pedro Baranda,0242 - Pedro Baranda
0242,25200,La Rioja,0242 - La Rioja
0242,28602,La Tabaquera,0242 - La Tabaquera
0242,29096,La Misión,0242 - La Misión
0242,31631,La Esperanza,0242 - La Esperanza
0242,34224,El Renacimiento,0242 - El Renacimiento
0242,36423,San Bernardo,0242 - San Bernardo
0242,39133,Las Laderas,0242 - Las Laderas
